,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
      Mayotte,    1941 to 1945,0,0,0,0,0,0
      Mayotte,    1946 to 1950,0,0,0,0,0,0
      Mayotte,    1951 to 1955,0,0,0,0,0,0
      Mayotte,    1956 to 1960,0,0,0,0,0,0
      Mayotte,    1961 to 1965,0,0,0,0,0,0
      Mayotte,    1966 to 1970,0,0,0,0,0,0
      Mayotte,    1970 to 1975,0,0,0,0,0,0
      Mayotte,    1976 to 1980,0,0,0,0,0,0
      Mayotte,    1981 to 1985,0,0,0,0,0,0
      Mayotte,    1986 to 1990,0,0,0,0,0,0
      Mayotte,    1991 to 1995,0,0,0,0,0,0
      Mayotte,    1996 to 2000,0,0,0,0,0,0
      Mayotte,    2001 to 2006,0,0,0,0,0,0
      Mayotte,  Non-permanent residents,0,0,0,0,0,0
      Mozambique,Total - Immigrant Status and Period of Immigration,1085,15,20,840,130,75
      Mozambique,  Non-immigrants,0,0,0,0,0,0
      Mozambique,  Immigrants,1055,0,15,830,130,75
      Mozambique,    Before 1915,0,0,0,0,0,0
      Mozambique,    1916 to 1920,0,0,0,0,0,0
      Mozambique,    1921 to 1925,0,0,0,0,0,0
      Mozambique,    1926 to 1930,0,0,0,0,0,0
      Mozambique,    1931 to 1935,0,0,0,0,0,0
      Mozambique,    1936 to 1940,0,0,0,0,0,0
      Mozambique,    1941 to 1945,0,0,0,0,0,0
      Mozambique,    1946 to 1950,0,0,0,0,0,0
      Mozambique,    1951 to 1955,0,0,0,0,0,0
      Mozambique,    1956 to 1960,10,0,0,10,0,0
      Mozambique,    1961 to 1965,15,0,0,0,0,10
      Mozambique,    1966 to 1970,45,0,0,15,20,10
      Mozambique,    1970 to 1975,155,0,0,105,45,0
      Mozambique,    1976 to 1980,300,0,0,235,45,15
      Mozambique,    1981 to 1985,120,0,0,95,10,15
      Mozambique,    1986 to 1990,190,0,0,170,0,15
      Mozambique,    1991 to 1995,55,0,0,55,0,0
      Mozambique,    1996 to 2000,90,0,0,75,0,0
      Mozambique,    2001 to 2006,85,0,10,70,0,10
      Mozambique,  Non-permanent residents,35,15,10,20,0,0
      Réunion,Total - Immigrant Status and Period of Immigration,110,10,35,65,0,10
      Réunion,  Non-immigrants,0,0,0,0,0,0
      Réunion,  Immigrants,55,0,0,45,0,10
      Réunion,    Before 1915,0,0,0,0,0,0
      Réunion,    1916 to 1920,0,0,0,0,0,0
      Réunion,    1921 to 1925,0,0,0,0,0,0
      Réunion,    1926 to 1930,0,0,0,0,0,0
      Réunion,    1931 to 1935,0,0,0,0,0,0
      Réunion,    1936 to 1940,0,0,0,0,0,0
      Réunion,    1941 to 1945,0,0,0,0,0,0
      Réunion,    1946 to 1950,0,0,0,0,0,0
      Réunion,    1951 to 1955,0,0,0,0,0,0
      Réunion,    1956 to 1960,0,0,0,0,0,0
      Réunion,    1961 to 1965,0,0,0,0,0,0
      Réunion,    1966 to 1970,10,0,0,0,0,10
      Réunion,    1970 to 1975,0,0,0,0,0,0
      Réunion,    1976 to 1980,0,0,0,0,0,0
      Réunion,    1981 to 1985,0,0,0,0,0,0
      Réunion,    1986 to 1990,0,0,0,0,0,0
      Réunion,    1991 to 1995,10,0,0,10,0,0
      Réunion,    1996 to 2000,0,0,0,0,0,0
      Réunion,    2001 to 2006,35,0,0,35,0,0
      Réunion,  Non-permanent residents,55,10,35,15,0,0
      Rwanda,Total - Immigrant Status and Period of Immigration,3805,575,770,2265,135,70
      Rwanda,  Non-immigrants,25,0,0,20,0,0
      Rwanda,  Immigrants,3425,525,685,2040,115,60
      Rwanda,    Before 1915,0,0,0,0,0,0
      Rwanda,    1916 to 1920,0,0,0,0,0,0
      Rwanda,    1921 to 1925,0,0,0,0,0,0
      Rwanda,    1926 to 1930,0,0,0,0,0,0
      Rwanda,    1931 to 1935,0,0,0,0,0,0
      Rwanda,    1936 to 1940,0,0,0,0,0,0
      Rwanda,    1941 to 1945,0,0,0,0,0,0
      Rwanda,    1946 to 1950,0,0,0,0,0,0
      Rwanda,    1951 to 1955,0,0,0,0,0,0
      Rwanda,    1956 to 1960,0,0,0,0,0,0
      Rwanda,    1961 to 1965,0,0,0,0,0,0
      Rwanda,    1966 to 1970,0,0,0,0,0,0
      Rwanda,    1970 to 1975,60,0,0,40,25,10
      Rwanda,    1976 to 1980,55,0,0,45,0,10
      Rwanda,    1981 to 1985,70,0,10,55,0,0
      Rwanda,    1986 to 1990,180,0,10,150,15,10
      Rwanda,    1991 to 1995,340,15,35,280,0,10
      Rwanda,    1996 to 2000,1295,200,295,780,20,0
      Rwanda,    2001 to 2006,1410,310,345,690,40,25
      Rwanda,  Non-permanent residents,360,45,85,210,20,0
      Seychelles,Total - Immigrant Status and Period of Immigration,900,15,150,520,125,85
      Seychelles,  Non-immigrants,10,10,0,0,0,0
      Seychelles,  Immigrants,885,10,150,510,125,85
      Seychelles,    Before 1915,0,0,0,0,0,0
      Seychelles,    1916 to 1920,0,0,0,0,0,0
      Seychelles,    1921 to 1925,0,0,0,0,0,0
      Seychelles,    1926 to 1930,0,0,0,0,0,0
      Seychelles,    1931 to 1935,0,0,0,0,0,0
      Seychelles,    1936 to 1940,0,0,0,0,0,0
      Seychelles,    1941 to 1945,0,0,0,0,0,0
      Seychelles,    1946 to 1950,0,0,0,0,0,0
      Seychelles,    1951 to 1955,0,0,0,0,0,0
      Seychelles,    1956 to 1960,0,0,0,0,0,0
      Seychelles,    1961 to 1965,10,0,0,0,0,10
      Seychelles,    1966 to 1970,20,0,0,0,15,10
      Seychelles,    1970 to 1975,45,0,0,0,15,25
      Seychelles,    1976 to 1980,20,0,0,10,15,0
      Seychelles,    1981 to 1985,35,0,0,15,10,10
      Seychelles,    1986 to 1990,280,0,60,175,35,15
      Seychelles,    1991 to 1995,280,10,40,205,15,20
      Seychelles,    1996 to 2000,120,0,25,70,20,0
      Seychelles,    2001 to 2006,65,0,25,35,0,0
      Seychelles,  Non-permanent residents,15,0,0,10,10,0
      Somalia,Total - Immigrant Status and Period of Immigration,20135,1070,5000,12075,955,1030
      Somalia,  Non-immigrants,20,0,0,20,0,0
      Somalia,  Immigrants,19470,1015,4825,11710,935,985
      Somalia,    Before 1915,0,0,0,0,0,0
      Somalia,    1916 to 1920,0,0,0,0,0,0
      Somalia,    1921 to 1925,0,0,0,0,0,0
      Somalia,    1926 to 1930,0,0,0,0,0,0
      Somalia,    1931 to 1935,0,0,0,0,0,0
      Somalia,    1936 to 1940,0,0,0,0,0,0
      Somalia,    1941 to 1945,0,0,0,0,0,0
      Somalia,    1946 to 1950,0,0,0,0,0,0
      Somalia,    1951 to 1955,0,0,0,0,0,0
      Somalia,    1956 to 1960,0,0,0,0,10,10
      Somalia,    1961 to 1965,0,0,0,0,0,0
      Somalia,    1966 to 1970,10,0,0,10,0,0
      Somalia,    1970 to 1975,90,0,0,25,45,25
      Somalia,    1976 to 1980,50,0,0,25,15,10
      Somalia,    1981 to 1985,100,0,0,70,0,25
      Somalia,    1986 to 1990,2960,0,550,2190,165,60
      Somalia,    1991 to 1995,8030,125,1790,5350,415,345
      Somalia,    1996 to 2000,4355,330,1300,2305,190,225
      Somalia,    2001 to 2006,3865,555,1180,1740,95,300
      Somalia,  Non-permanent residents,640,50,175,345,20,45
"      Tanzania, United Republic of",Total - Immigrant Status and Period of Immigration,20220,855,900,10535,4030,3900
"      Tanzania, United Republic of",  Non-immigrants,145,10,50,70,10,0
"      Tanzania, United Republic of",  Immigrants,19750,815,770,10265,4010,3885
"      Tanzania, United Republic of",    Before 1915,0,0,0,0,0,0
"      Tanzania, United Republic of",    1916 to 1920,0,0,0,0,0,0
"      Tanzania, United Republic of",    1921 to 1925,0,0,0,0,0,0
"      Tanzania, United Republic of",    1926 to 1930,10,0,0,0,0,10
"      Tanzania, United Republic of",    1931 to 1935,0,0,0,0,0,0
"      Tanzania, United Republic of",    1936 to 1940,0,0,0,0,0,0
"      Tanzania, United Republic of",    1941 to 1945,10,0,0,0,0,10
"      Tanzania, United Republic of",    1946 to 1950,0,0,0,0,0,0
"      Tanzania, United Republic of",    1951 to 1955,40,0,0,0,15,20
"      Tanzania, United Republic of",    1956 to 1960,45,0,0,20,0,25
"      Tanzania, United Republic of",    1961 to 1965,105,0,0,50,20,35
"      Tanzania, United Republic of",    1966 to 1970,450,0,0,170,165,120
"      Tanzania, United Republic of",    1970 to 1975,6145,0,0,2605,1825,1710
"      Tanzania, United Republic of",    1976 to 1980,3095,0,0,1690,830,575
"      Tanzania, United Republic of",    1981 to 1985,2145,0,20,1315,335,470
"      Tanzania, United Republic of",    1986 to 1990,2370,0,180,1470,365,355
"      Tanzania, United Republic of",    1991 to 1995,2050,30,225,1230,250,315
"      Tanzania, United Republic of",    1996 to 2000,1345,170,140,775,105,150
"      Tanzania, United Republic of",    2001 to 2006,1940,615,205,940,95,80
"      Tanzania, United Republic of",  Non-permanent residents,330,35,75,200,10,10
      Uganda,Total - Immigrant Status and Period of Immigration,11355,465,505,6395,2350,1635
      Uganda,  Non-immigrants,40,0,0,40,0,0
      Uganda,  Immigrants,10970,420,425,6145,2350,1635
      Uganda,    Before 1915,0,0,0,0,0,0
      Uganda,    1916 to 1920,0,0,0,0,0,0
      Uganda,    1921 to 1925,0,0,0,0,0,0
      Uganda,    1926 to 1930,0,0,0,0,0,0
      Uganda,    1931 to 1935,0,0,0,0,0,0
      Uganda,    1936 to 1940,0,0,0,0,0,0
      Uganda,    1941 to 1945,10,0,0,0,0,10
      Uganda,    1946 to 1950,0,0,0,0,0,0
      Uganda,    1951 to 1955,20,0,0,10,10,10
      Uganda,    1956 to 1960,25,0,0,10,10,0
      Uganda,    1961 to 1965,50,0,0,20,10,25
      Uganda,    1966 to 1970,215,0,0,95,60,60
      Uganda,    1970 to 1975,5705,0,0,2890,1665,1155
      Uganda,    1976 to 1980,980,0,0,610,265,105
      Uganda,    1981 to 1985,670,0,10,460,110,95
      Uganda,    1986 to 1990,900,0,75,645,105,70
      Uganda,    1991 to 1995,835,15,145,530,90,60
      Uganda,    1996 to 2000,560,90,70,360,10,20
      Uganda,    2001 to 2006,1005,310,125,520,30,15
      Uganda,  Non-permanent residents,340,50,75,210,0,0
      Zambia,Total - Immigrant Status and Period of Immigration,2905,405,480,1890,100,35
      Zambia,  Non-immigrants,145,20,25,95,0,10
      Zambia,  Immigrants,2505,370,395,1615,100,25
      Zambia,    Before 1915,0,0,0,0,0,0
      Zambia,    1916 to 1920,0,0,0,0,0,0
      Zambia,    1921 to 1925,0,0,0,0,0,0
      Zambia,    1926 to 1930,0,0,0,0,0,0
      Zambia,    1931 to 1935,0,0,0,0,0,0
      Zambia,    1936 to 1940,0,0,0,0,0,0
      Zambia,    1941 to 1945,0,0,0,0,0,0
      Zambia,    1946 to 1950,0,0,0,0,0,0
      Zambia,    1951 to 1955,0,0,0,0,0,0
      Zambia,    1956 to 1960,25,0,0,20,0,10
      Zambia,    1961 to 1965,40,0,0,30,0,10
      Zambia,    1966 to 1970,140,0,0,125,10,0
      Zambia,    1970 to 1975,195,0,0,175,25,0
      Zambia,    1976 to 1980,145,0,0,135,10,0
      Zambia,    1981 to 1985,155,0,0,150,0,0
      Zambia,    1986 to 1990,335,0,80,240,15,0
      Zambia,    1991 to 1995,410,0,110,270,20,0
      Zambia,    1996 to 2000,380,60,80,225,10,0
      Zambia,    2001 to 2006,680,305,125,245,10,0
      Zambia,  Non-permanent residents,255,20,60,180,0,0
      Zimbabwe,Total - Immigrant Status and Period of Immigration,8145,850,1315,5085,555,335
      Zimbabwe,  Non-immigrants,145,40,60,40,0,10
      Zimbabwe,  Immigrants,6505,625,1000,4030,540,320
      Zimbabwe,    Before 1915,0,0,0,0,0,0
      Zimbabwe,    1916 to 1920,0,0,0,0,0,0
      Zimbabwe,    1921 to 1925,0,0,0,0,0,0
      Zimbabwe,    1926 to 1930,0,0,0,0,0,0
      Zimbabwe,    1931 to 1935,0,0,0,0,0,0
      Zimbabwe,    1936 to 1940,0,0,0,0,0,0
      Zimbabwe,    1941 to 1945,10,0,0,0,10,0
      Zimbabwe,    1946 to 1950,0,0,0,0,0,0
      Zimbabwe,    1951 to 1955,50,0,0,0,0,45
      Zimbabwe,    1956 to 1960,65,0,0,10,40,15
      Zimbabwe,    1961 to 1965,90,0,0,55,0,35
      Zimbabwe,    1966 to 1970,185,0,0,90,35,60
      Zimbabwe,    1970 to 1975,220,0,0,115,90,15
      Zimbabwe,    1976 to 1980,425,0,0,215,155,55
      Zimbabwe,    1981 to 1985,380,0,0,295,60,25
      Zimbabwe,    1986 to 1990,450,0,50,375,25,10
      Zimbabwe,    1991 to 1995,530,20,115,330,50,15
      Zimbabwe,    1996 to 2000,620,45,130,435,0,10
      Zimbabwe,    2001 to 2006,3480,560,695,2100,75,45
      Zimbabwe,  Non-permanent residents,1495,185,260,1020,15,15
    Northern Africa,Total - Immigrant Status and Period of Immigration,140085,13710,14005,83580,15110,13675
    Northern Africa,  Non-immigrants,495,170,95,175,30,30
    Northern Africa,  Immigrants,134085,12840,12790,79880,15010,13560
    Northern Africa,    Before 1915,0,0,0,0,0,0
    Northern Africa,    1916 to 1920,0,0,0,0,0,0
    Northern Africa,    1921 to 1925,0,0,0,0,0,0
    Northern Africa,    1926 to 1930,10,0,0,0,0,10
    Northern Africa,    1931 to 1935,10,0,0,0,0,10
    Northern Africa,    1936 to 1940,0,0,0,0,0,0
    Northern Africa,    1941 to 1945,10,0,0,0,0,10
    Northern Africa,    1946 to 1950,110,0,0,0,40,75
    Northern Africa,    1951 to 1955,305,0,0,15,80,210
    Northern Africa,    1956 to 1960,1630,0,0,310,485,830
    Northern Africa,    1961 to 1965,5625,0,0,1660,1330,2635
    Northern Africa,    1966 to 1970,9345,0,0,2430,3350,3565
    Northern Africa,    1970 to 1975,7035,0,0,2430,2875,1735
    Northern Africa,    1976 to 1980,5025,0,0,2375,1645,1010
    Northern Africa,    1981 to 1985,4375,0,95,2890,870,520
    Northern Africa,    1986 to 1990,10260,0,1620,6655,1230,755
    Northern Africa,    1991 to 1995,15410,535,2630,10125,1295,825
    Northern Africa,    1996 to 2000,26300,3410,3735,17465,1030,670
    Northern Africa,    2001 to 2006,48620,8900,4705,33520,790,705
    Northern Africa,  Non-permanent residents,5510,700,1120,3525,75,85
      Algeria,Total - Immigrant Status and Period of Immigration,33385,4650,3105,23010,1635,985
      Algeria,  Non-immigrants,60,15,10,35,0,0
      Algeria,  Immigrants,32150,4515,2990,22045,1625,970
      Algeria,    Before 1915,0,0,0,0,0,0
      Algeria,    1916 to 1920,0,0,0,0,0,0
      Algeria,    1921 to 1925,0,0,0,0,0,0
      Algeria,    1926 to 1930,0,0,0,0,0,0
      Algeria,    1931 to 1935,0,0,0,0,0,0
      Algeria,    1936 to 1940,0,0,0,0,0,0
      Algeria,    1941 to 1945,0,0,0,0,0,0
      Algeria,    1946 to 1950,10,0,0,0,0,10
      Algeria,    1951 to 1955,55,0,0,0,0,45
      Algeria,    1956 to 1960,290,0,0,50,85,145
      Algeria,    1961 to 1965,215,0,0,45,50,125
      Algeria,    1966 to 1970,430,0,0,80,190,160
      Algeria,    1970 to 1975,515,0,0,100,300,115
      Algeria,    1976 to 1980,440,0,0,250,140,55
      Algeria,    1981 to 1985,340,0,0,205,100,35
      Algeria,    1986 to 1990,1310,0,245,900,120,40
      Algeria,    1991 to 1995,3155,110,470,2310,185,80
      Algeria,    1996 to 2000,9235,1235,1385,6225,310,80
      Algeria,    2001 to 2006,16155,3175,890,11880,135,80
      Algeria,  Non-permanent residents,1175,120,105,930,10,15
      Egypt,Total - Immigrant Status and Period of Immigration,41605,2965,3420,19360,7710,8145
      Egypt,  Non-immigrants,145,40,30,40,20,15
      Egypt,  Immigrants,40500,2720,3215,18795,7650,8115
      Egypt,    Before 1915,0,0,0,0,0,0
      Egypt,    1916 to 1920,0,0,0,0,0,0
      Egypt,    1921 to 1925,0,0,0,0,0,0
      Egypt,    1926 to 1930,10,0,0,0,0,10
      Egypt,    1931 to 1935,10,0,0,0,0,10
      Egypt,    1936 to 1940,0,0,0,0,0,0
      Egypt,    1941 to 1945,10,0,0,0,0,10
      Egypt,    1946 to 1950,55,0,0,0,15,45
      Egypt,    1951 to 1955,165,0,0,0,50,115
      Egypt,    1956 to 1960,605,0,0,115,160,335
      Egypt,    1961 to 1965,3395,0,0,855,815,1720
      Egypt,    1966 to 1970,5750,0,0,1435,1985,2325
      Egypt,    1970 to 1975,3440,0,0,1110,1395,940
      Egypt,    1976 to 1980,2420,0,0,1020,805,590
      Egypt,    1981 to 1985,1735,0,15,1005,425,290
      Egypt,    1986 to 1990,4320,0,745,2455,710,415
      Egypt,    1991 to 1995,5990,280,1030,3430,750,495
      Egypt,    1996 to 2000,5730,900,740,3400,290,400
      Egypt,    2001 to 2006,6865,1540,685,3965,255,415
      Egypt,  Non-permanent residents,960,205,170,525,35,25
      Libya,Total - Immigrant Status and Period of Immigration,3600,765,550,2130,90,60
      Libya,  Non-immigrants,45,0,10,35,0,0
      Libya,  Immigrants,2615,545,470,1455,90,55
      Libya,    Before 1915,0,0,0,0,0,0
      Libya,    1916 to 1920,0,0,0,0,0,0
      Libya,    1921 to 1925,0,0,0,0,0,0
      Libya,    1926 to 1930,0,0,0,0,0,0
      Libya,    1931 to 1935,0,0,0,0,0,0
      Libya,    1936 to 1940,0,0,0,0,0,0
      Libya,    1941 to 1945,0,0,0,0,0,0
      Libya,    1946 to 1950,0,0,0,0,0,0
      Libya,    1951 to 1955,35,0,0,10,10,20
      Libya,    1956 to 1960,40,0,0,10,15,15
      Libya,    1961 to 1965,30,0,0,10,10,10
      Libya,    1966 to 1970,55,0,0,30,20,0
      Libya,    1970 to 1975,50,0,0,40,0,0
      Libya,    1976 to 1980,50,0,0,40,0,0
      Libya,    1981 to 1985,95,0,0,90,0,0
      Libya,    1986 to 1990,250,0,80,155,10,0
      Libya,    1991 to 1995,385,20,135,220,0,0
      Libya,    1996 to 2000,545,100,105,330,10,0
      Libya,    2001 to 2006,1080,430,145,510,10,0
      Libya,  Non-permanent residents,940,220,75,640,0,0
      Morocco,Total - Immigrant Status and Period of Immigration,40370,3165,3315,25845,4450,3600
      Morocco,  Non-immigrants,115,65,20,15,0,10
      Morocco,  Immigrants,38900,3025,2800,25085,4425,3560
      Morocco,    Before 1915,0,0,0,0,0,0
      Morocco,    1916 to 1920,0,0,0,0,0,0
      Morocco,    1921 to 1925,0,0,0,0,0,0
      Morocco,    1926 to 1930,0,0,0,0,0,0
      Morocco,    1931 to 1935,0,0,0,0,0,0
      Morocco,    1936 to 1940,0,0,0,0,0,0
      Morocco,    1941 to 1945,0,0,0,0,0,0
      Morocco,    1946 to 1950,30,0,0,0,25,10
      Morocco,    1951 to 1955,25,0,0,0,15,10
      Morocco,    1956 to 1960,570,0,0,115,190,265
      Morocco,    1961 to 1965,1780,0,0,690,435,655
      Morocco,    1966 to 1970,2700,0,0,805,975,915
      Morocco,    1970 to 1975,2515,0,0,1010,920,590
      Morocco,    1976 to 1980,1705,0,0,845,555,305
      Morocco,    1981 to 1985,1840,0,25,1330,310,175
      Morocco,    1986 to 1990,3245,0,300,2410,320,220
      Morocco,    1991 to 1995,3535,80,485,2605,195,165
      Morocco,    1996 to 2000,6225,790,745,4310,260,120
      Morocco,    2001 to 2006,14715,2155,1245,10960,230,125
      Morocco,  Non-permanent residents,1360,75,495,740,20,30
      Sudan,Total - Immigrant Status and Period of Immigration,13050,1765,2840,7540,540,365
      Sudan,  Non-immigrants,30,15,10,0,0,0
      Sudan,  Immigrants,12575,1665,2735,7290,530,355
      Sudan,    Before 1915,0,0,0,0,0,0
      Sudan,    1916 to 1920,0,0,0,0,0,0
      Sudan,    1921 to 1925,0,0,0,0,0,0
      Sudan,    1926 to 1930,0,0,0,0,0,0
      Sudan,    1931 to 1935,0,0,0,0,0,0
      Sudan,    1936 to 1940,0,0,0,0,0,0
      Sudan,    1941 to 1945,0,0,0,0,0,0
      Sudan,    1946 to 1950,0,0,0,0,0,0
      Sudan,    1951 to 1955,10,0,0,0,10,0
      Sudan,    1956 to 1960,0,0,0,0,0,0
      Sudan,    1961 to 1965,15,0,0,15,0,0
      Sudan,    1966 to 1970,125,0,0,25,55,45
      Sudan,    1970 to 1975,85,0,0,30,35,20
      Sudan,    1976 to 1980,70,0,0,30,10,30
      Sudan,    1981 to 1985,165,0,55,90,0,15
      Sudan,    1986 to 1990,590,0,150,355,40,40
      Sudan,    1991 to 1995,1550,30,400,945,110,75
      Sudan,    1996 to 2000,3480,320,690,2295,130,50
      Sudan,    2001 to 2006,6490,1320,1440,3515,140,70
      Sudan,  Non-permanent residents,445,75,100,250,10,10
      Tunisia,Total - Immigrant Status and Period of Immigration,8080,405,775,5695,680,520
      Tunisia,  Non-immigrants,100,30,20,45,0,0
      Tunisia,  Immigrants,7350,365,580,5210,685,505
      Tunisia,    Before 1915,0,0,0,0,0,0
      Tunisia,    1916 to 1920,0,0,0,0,0,0
      Tunisia,    1921 to 1925,0,0,0,0,0,0
      Tunisia,    1926 to 1930,0,0,0,0,0,0
      Tunisia,    1931 to 1935,0,0,0,0,0,0
      Tunisia,    1936 to 1940,0,0,0,0,0,0
      Tunisia,    1941 to 1945,0,0,0,0,0,0
      Tunisia,    1946 to 1950,10,0,0,0,0,10
      Tunisia,    1951 to 1955,20,0,0,0,0,20
      Tunisia,    1956 to 1960,130,0,0,20,40,70
      Tunisia,    1961 to 1965,190,0,0,40,20,130
      Tunisia,    1966 to 1970,290,0,0,55,120,110
      Tunisia,    1970 to 1975,425,0,0,145,220,60
      Tunisia,    1976 to 1980,335,0,0,190,130,20
      Tunisia,    1981 to 1985,200,0,0,170,25,0
      Tunisia,    1986 to 1990,545,0,100,380,25,40
      Tunisia,    1991 to 1995,790,15,110,610,45,10
      Tunisia,    1996 to 2000,1085,65,70,905,30,15
      Tunisia,    2001 to 2006,3330,290,305,2700,25,15
      Tunisia,  Non-permanent residents,635,10,170,445,0,10
      Western Sahara,Total - Immigrant Status and Period of Immigration,0,0,0,0,0,0
      Western Sahara,  Non-immigrants,0,0,0,0,0,0
      Western Sahara,  Immigrants,0,0,0,0,0,0
      Western Sahara,    Before 1915,0,0,0,0,0,0
      Western Sahara,    1916 to 1920,0,0,0,0,0,0
      Western Sahara,    1921 to 1925,0,0,0,0,0,0
      Western Sahara,    1926 to 1930,0,0,0,0,0,0
      Western Sahara,    1931 to 1935,0,0,0,0,0,0
      Western Sahara,    1936 to 1940,0,0,0,0,0,0
      Western Sahara,    1941 to 1945,0,0,0,0,0,0
      Western Sahara,    1946 to 1950,0,0,0,0,0,0
      Western Sahara,    1951 to 1955,0,0,0,0,0,0
      Western Sahara,    1956 to 1960,0,0,0,0,0,0
      Western Sahara,    1961 to 1965,0,0,0,0,0,0
      Western Sahara,    1966 to 1970,0,0,0,0,0,0
      Western Sahara,    1970 to 1975,0,0,0,0,0,0
      Western Sahara,    1976 to 1980,0,0,0,0,0,0
      Western Sahara,    1981 to 1985,0,0,0,0,0,0
      Western Sahara,    1986 to 1990,0,0,0,0,0,0
      Western Sahara,    1991 to 1995,0,0,0,0,0,0
      Western Sahara,    1996 to 2000,0,0,0,0,0,0
      Western Sahara,    2001 to 2006,0,0,0,0,0,0
      Western Sahara,  Non-permanent residents,0,0,0,0,0,0
    Central Africa,Total - Immigrant Status and Period of Immigration,25465,3265,4790,15945,1055,415
    Central Africa,  Non-immigrants,345,20,80,220,20,0
    Central Africa,  Immigrants,22240,2865,4015,14080,925,350
    Central Africa,    Before 1915,0,0,0,0,0,0
    Central Africa,    1916 to 1920,0,0,0,0,0,0
    Central Africa,    1921 to 1925,0,0,0,0,0,0
    Central Africa,    1926 to 1930,0,0,0,0,0,0
    Central Africa,    1931 to 1935,10,0,0,0,0,10
    Central Africa,    1936 to 1940,0,0,0,0,0,0
    Central Africa,    1941 to 1945,0,0,0,0,0,0
    Central Africa,    1946 to 1950,10,0,0,0,10,0
    Central Africa,    1951 to 1955,35,0,0,0,20,10
    Central Africa,    1956 to 1960,20,0,0,0,10,10
    Central Africa,    1961 to 1965,95,0,0,65,15,10
    Central Africa,    1966 to 1970,180,0,0,105,60,10
    Central Africa,    1970 to 1975,685,0,0,430,180,70
    Central Africa,    1976 to 1980,930,0,0,750,150,30
    Central Africa,    1981 to 1985,495,0,25,390,65,15
    Central Africa,    1986 to 1990,1185,0,185,900,100,0
    Central Africa,    1991 to 1995,2345,65,510,1700,70,0
    Central Africa,    1996 to 2000,5575,625,1020,3755,90,85
    Central Africa,    2001 to 2006,10695,2170,2275,5980,165,100
    Central Africa,  Non-permanent residents,2885,380,700,1645,105,65
      Angola,Total - Immigrant Status and Period of Immigration,3315,325,350,2430,160,55
      Angola,  Non-immigrants,50,0,0,50,0,0
      Angola,  Immigrants,3045,265,330,2235,160,55
      Angola,    Before 1915,0,0,0,0,0,0
      Angola,    1916 to 1920,0,0,0,0,0,0
      Angola,    1921 to 1925,0,0,0,0,0,0
      Angola,    1926 to 1930,0,0,0,0,0,0
      Angola,    1931 to 1935,10,0,0,0,0,10
      Angola,    1936 to 1940,0,0,0,0,0,0
      Angola,    1941 to 1945,0,0,0,0,0,0
      Angola,    1946 to 1950,0,0,0,0,0,0
      Angola,    1951 to 1955,10,0,0,0,10,0
      Angola,    1956 to 1960,0,0,0,0,0,0
      Angola,    1961 to 1965,25,0,0,15,0,10
      Angola,    1966 to 1970,45,0,0,30,10,0
      Angola,    1970 to 1975,160,0,0,140,10,15
      Angola,    1976 to 1980,575,0,0,505,60,10
      Angola,    1981 to 1985,175,0,0,165,0,10
      Angola,    1986 to 1990,410,0,30,340,35,0
      Angola,    1991 to 1995,155,0,10,130,15,0
      Angola,    1996 to 2000,305,20,60,205,10,10
      Angola,    2001 to 2006,1175,245,230,700,0,0
      Angola,  Non-permanent residents,220,55,20,145,0,0
      Cameroon,Total - Immigrant Status and Period of Immigration,3700,260,550,2705,145,45
      Cameroon,  Non-immigrants,90,10,10,65,0,0
      Cameroon,  Immigrants,3040,200,345,2315,145,35
      Cameroon,    Before 1915,0,0,0,0,0,0
      Cameroon,    1916 to 1920,0,0,0,0,0,0
      Cameroon,    1921 to 1925,0,0,0,0,0,0
      Cameroon,    1926 to 1930,0,0,0,0,0,0
      Cameroon,    1931 to 1935,0,0,0,0,0,0
      Cameroon,    1936 to 1940,0,0,0,0,0,0
      Cameroon,    1941 to 1945,0,0,0,0,0,0
      Cameroon,    1946 to 1950,0,0,0,0,0,0
      Cameroon,    1951 to 1955,0,0,0,0,0,0
      Cameroon,    1956 to 1960,0,0,0,0,0,0
      Cameroon,    1961 to 1965,0,0,0,0,0,0
      Cameroon,    1966 to 1970,0,0,0,0,0,0
      Cameroon,    1970 to 1975,85,0,0,20,60,10
      Cameroon,    1976 to 1980,75,0,0,55,10,0
      Cameroon,    1981 to 1985,25,0,0,10,10,0
      Cameroon,    1986 to 1990,120,0,20,90,15,0
      Cameroon,    1991 to 1995,315,0,20,260,30,0
      Cameroon,    1996 to 2000,830,55,100,670,0,10
      Cameroon,    2001 to 2006,1595,145,205,1215,15,15
      Cameroon,  Non-permanent residents,570,50,195,310,0,10
      Central African Republic,Total - Immigrant Status and Period of Immigration,230,35,45,135,0,10
      Central African Republic,  Non-immigrants,10,0,10,10,0,0
      Central African Republic,  Immigrants,155,15,30,95,0,10
      Central African Republic,    Before 1915,0,0,0,0,0,0
      Central African Republic,    1916 to 1920,0,0,0,0,0,0
      Central African Republic,    1921 to 1925,0,0,0,0,0,0
      Central African Republic,    1926 to 1930,0,0,0,0,0,0
      Central African Republic,    1931 to 1935,0,0,0,0,0,0
      Central African Republic,    1936 to 1940,0,0,0,0,0,0
