,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      Burkina Faso,  Non-permanent residents,75,0,35,30,0,0,,,
      Cape Verde,Total - Immigrant Status and Period of Immigration,325,15,30,210,45,30,,,
      Cape Verde,  Non-immigrants,0,0,0,0,0,0,,,
      Cape Verde,  Immigrants,320,15,30,200,45,30,,,
      Cape Verde,    Before 1915,0,0,0,0,0,0,,,
      Cape Verde,    1916 to 1920,0,0,0,0,0,0,,,
      Cape Verde,    1921 to 1925,0,0,0,0,0,0,,,
      Cape Verde,    1926 to 1930,0,0,0,0,0,0,,,
      Cape Verde,    1931 to 1935,0,0,0,0,0,0,,,
      Cape Verde,    1936 to 1940,0,0,0,0,0,0,,,
      Cape Verde,    1941 to 1945,0,0,0,0,0,0,,,
      Cape Verde,    1946 to 1950,0,0,0,0,0,0,,,
      Cape Verde,    1951 to 1955,0,0,0,0,0,0,,,
      Cape Verde,    1956 to 1960,0,0,0,0,0,0,,,
      Cape Verde,    1961 to 1965,0,0,0,0,0,0,,,
      Cape Verde,    1966 to 1970,10,0,0,0,10,0,,,
      Cape Verde,    1971 to 1975,60,0,0,40,0,15,,,
      Cape Verde,    1976 to 1980,50,0,0,35,15,0,,,
      Cape Verde,    1981 to 1985,35,0,0,30,10,0,,,
      Cape Verde,    1986 to 1990,60,10,10,50,0,0,,,
      Cape Verde,    1991 to 1995,100,0,20,35,20,20,,,
      Cape Verde,    1996 to 2001,15,10,0,0,0,0,,,
      Cape Verde,  Non-permanent residents,10,0,0,10,0,0,,,
      Côte d'Ivoire,Total - Immigrant Status and Period of Immigration,1735,240,450,995,45,0,,,
      Côte d'Ivoire,  Non-immigrants,120,80,15,30,0,0,,,
      Côte d'Ivoire,  Immigrants,1270,150,270,805,45,0,,,
      Côte d'Ivoire,    Before 1915,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1916 to 1920,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1921 to 1925,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1926 to 1930,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1931 to 1935,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1936 to 1940,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1941 to 1945,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1946 to 1950,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1951 to 1955,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1956 to 1960,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1961 to 1965,0,0,0,0,0,0,,,
      Côte d'Ivoire,    1966 to 1970,15,0,0,15,0,0,,,
      Côte d'Ivoire,    1971 to 1975,10,0,0,10,0,0,,,
      Côte d'Ivoire,    1976 to 1980,35,0,0,20,15,0,,,
      Côte d'Ivoire,    1981 to 1985,100,0,10,90,0,0,,,
      Côte d'Ivoire,    1986 to 1990,165,15,50,100,0,0,,,
      Côte d'Ivoire,    1991 to 1995,375,50,110,190,15,0,,,
      Côte d'Ivoire,    1996 to 2001,565,85,100,380,0,0,,,
      Côte d'Ivoire,  Non-permanent residents,345,10,170,160,0,0,,,
      Gambia,Total - Immigrant Status and Period of Immigration,240,20,20,195,0,0,,,
      Gambia,  Non-immigrants,0,0,0,0,0,0,,,
      Gambia,  Immigrants,225,20,15,195,0,0,,,
      Gambia,    Before 1915,0,0,0,0,0,0,,,
      Gambia,    1916 to 1920,0,0,0,0,0,0,,,
      Gambia,    1921 to 1925,0,0,0,0,0,0,,,
      Gambia,    1926 to 1930,0,0,0,0,0,0,,,
      Gambia,    1931 to 1935,0,0,0,0,0,0,,,
      Gambia,    1936 to 1940,0,0,0,0,0,0,,,
      Gambia,    1941 to 1945,0,0,0,0,0,0,,,
      Gambia,    1946 to 1950,0,0,0,0,0,0,,,
      Gambia,    1951 to 1955,0,0,0,0,0,0,,,
      Gambia,    1956 to 1960,0,0,0,0,0,0,,,
      Gambia,    1961 to 1965,0,0,0,0,0,0,,,
      Gambia,    1966 to 1970,0,0,0,0,0,0,,,
      Gambia,    1971 to 1975,10,0,0,10,0,0,,,
      Gambia,    1976 to 1980,10,0,0,10,0,0,,,
      Gambia,    1981 to 1985,0,0,0,0,0,0,,,
      Gambia,    1986 to 1990,50,0,0,50,0,0,,,
      Gambia,    1991 to 1995,95,0,0,95,0,0,,,
      Gambia,    1996 to 2001,60,20,0,30,0,0,,,
      Gambia,  Non-permanent residents,10,0,10,0,0,0,,,
      Ghana,Total - Immigrant Status and Period of Immigration,17010,1330,3695,10845,865,280,,,
      Ghana,  Non-immigrants,85,0,0,85,0,0,,,
      Ghana,  Immigrants,16120,1255,3480,10270,860,260,,,
      Ghana,    Before 1915,0,0,0,0,0,0,,,
      Ghana,    1916 to 1920,0,0,0,0,0,0,,,
      Ghana,    1921 to 1925,0,0,0,0,0,0,,,
      Ghana,    1926 to 1930,0,0,0,0,0,0,,,
      Ghana,    1931 to 1935,0,0,0,0,0,0,,,
      Ghana,    1936 to 1940,0,0,0,0,0,0,,,
      Ghana,    1941 to 1945,0,0,0,0,0,0,,,
      Ghana,    1946 to 1950,0,0,0,0,0,0,,,
      Ghana,    1951 to 1955,0,0,0,0,0,0,,,
      Ghana,    1956 to 1960,20,0,0,10,0,10,,,
      Ghana,    1961 to 1965,35,0,0,20,0,10,,,
      Ghana,    1966 to 1970,160,0,0,40,110,10,,,
      Ghana,    1971 to 1975,880,0,0,575,270,30,,,
      Ghana,    1976 to 1980,645,0,35,490,100,20,,,
      Ghana,    1981 to 1985,945,0,140,670,95,35,,,
      Ghana,    1986 to 1990,2705,70,365,2130,85,60,,,
      Ghana,    1991 to 1995,5740,370,1295,3945,95,35,,,
      Ghana,    1996 to 2001,4985,820,1645,2385,85,55,,,
      Ghana,  Non-permanent residents,805,75,210,495,0,20,,,
      Guinea,Total - Immigrant Status and Period of Immigration,1325,190,195,890,40,10,,,
      Guinea,  Non-immigrants,15,0,10,0,0,0,,,
      Guinea,  Immigrants,1025,160,160,670,30,10,,,
      Guinea,    Before 1915,0,0,0,0,0,0,,,
      Guinea,    1916 to 1920,0,0,0,0,0,0,,,
      Guinea,    1921 to 1925,0,0,0,0,0,0,,,
      Guinea,    1926 to 1930,0,0,0,0,0,0,,,
      Guinea,    1931 to 1935,0,0,0,0,0,0,,,
      Guinea,    1936 to 1940,0,0,0,0,0,0,,,
      Guinea,    1941 to 1945,0,0,0,0,0,0,,,
      Guinea,    1946 to 1950,0,0,0,0,0,0,,,
      Guinea,    1951 to 1955,0,0,0,0,0,0,,,
      Guinea,    1956 to 1960,0,0,0,0,0,0,,,
      Guinea,    1961 to 1965,10,0,0,0,0,0,,,
      Guinea,    1966 to 1970,20,0,0,10,0,0,,,
      Guinea,    1971 to 1975,35,0,0,30,10,0,,,
      Guinea,    1976 to 1980,45,0,0,45,10,0,,,
      Guinea,    1981 to 1985,25,0,0,20,0,0,,,
      Guinea,    1986 to 1990,130,10,15,105,0,0,,,
      Guinea,    1991 to 1995,135,30,0,100,0,0,,,
      Guinea,    1996 to 2001,625,115,140,365,0,0,,,
      Guinea,  Non-permanent residents,285,25,30,215,10,0,,,
      Guinea-Bissau,Total - Immigrant Status and Period of Immigration,50,0,10,30,10,0,,,
      Guinea-Bissau,  Non-immigrants,0,0,0,0,0,0,,,
      Guinea-Bissau,  Immigrants,25,0,0,15,10,0,,,
      Guinea-Bissau,    Before 1915,0,0,0,0,0,0,,,
      Guinea-Bissau,    1916 to 1920,0,0,0,0,0,0,,,
      Guinea-Bissau,    1921 to 1925,0,0,0,0,0,0,,,
      Guinea-Bissau,    1926 to 1930,0,0,0,0,0,0,,,
      Guinea-Bissau,    1931 to 1935,0,0,0,0,0,0,,,
      Guinea-Bissau,    1936 to 1940,0,0,0,0,0,0,,,
      Guinea-Bissau,    1941 to 1945,0,0,0,0,0,0,,,
      Guinea-Bissau,    1946 to 1950,0,0,0,0,0,0,,,
      Guinea-Bissau,    1951 to 1955,0,0,0,0,0,0,,,
      Guinea-Bissau,    1956 to 1960,0,0,0,0,0,0,,,
      Guinea-Bissau,    1961 to 1965,0,0,0,0,0,0,,,
      Guinea-Bissau,    1966 to 1970,0,0,0,0,0,0,,,
      Guinea-Bissau,    1971 to 1975,0,0,0,10,10,0,,,
      Guinea-Bissau,    1976 to 1980,0,0,0,0,0,0,,,
      Guinea-Bissau,    1981 to 1985,0,0,0,0,0,0,,,
      Guinea-Bissau,    1986 to 1990,0,0,0,0,0,0,,,
      Guinea-Bissau,    1991 to 1995,0,0,0,0,0,0,,,
      Guinea-Bissau,    1996 to 2001,0,0,0,0,0,0,,,
      Guinea-Bissau,  Non-permanent residents,25,0,10,10,0,0,,,
      Liberia,Total - Immigrant Status and Period of Immigration,715,85,155,435,35,10,,,
      Liberia,  Non-immigrants,35,0,0,30,0,0,,,
      Liberia,  Immigrants,635,85,150,360,30,10,,,
      Liberia,    Before 1915,0,0,0,0,0,0,,,
      Liberia,    1916 to 1920,0,0,0,0,0,0,,,
      Liberia,    1921 to 1925,0,0,0,0,0,0,,,
      Liberia,    1926 to 1930,0,0,0,0,0,0,,,
      Liberia,    1931 to 1935,0,0,0,0,0,0,,,
      Liberia,    1936 to 1940,0,0,0,0,0,0,,,
      Liberia,    1941 to 1945,0,0,0,0,0,0,,,
      Liberia,    1946 to 1950,0,0,0,0,0,0,,,
      Liberia,    1951 to 1955,0,0,0,0,0,0,,,
      Liberia,    1956 to 1960,0,0,0,0,0,0,,,
      Liberia,    1961 to 1965,0,0,0,0,0,0,,,
      Liberia,    1966 to 1970,10,0,0,10,10,0,,,
      Liberia,    1971 to 1975,35,0,0,25,10,0,,,
      Liberia,    1976 to 1980,10,0,0,10,0,0,,,
      Liberia,    1981 to 1985,15,0,0,15,0,0,,,
      Liberia,    1986 to 1990,35,0,25,10,0,0,,,
      Liberia,    1991 to 1995,275,40,75,160,0,10,,,
      Liberia,    1996 to 2001,255,50,45,140,15,0,,,
      Liberia,  Non-permanent residents,45,0,0,45,0,0,,,
      Mali,Total - Immigrant Status and Period of Immigration,845,60,95,665,20,0,,,
      Mali,  Non-immigrants,20,10,0,10,0,0,,,
      Mali,  Immigrants,670,45,55,560,20,0,,,
      Mali,    Before 1915,0,0,0,0,0,0,,,
      Mali,    1916 to 1920,0,0,0,0,0,0,,,
      Mali,    1921 to 1925,0,0,0,0,0,0,,,
      Mali,    1926 to 1930,0,0,0,0,0,0,,,
      Mali,    1931 to 1935,0,0,0,0,0,0,,,
      Mali,    1936 to 1940,0,0,0,0,0,0,,,
      Mali,    1941 to 1945,0,0,0,0,0,0,,,
      Mali,    1946 to 1950,0,0,0,0,0,0,,,
      Mali,    1951 to 1955,0,0,0,0,0,0,,,
      Mali,    1956 to 1960,10,0,0,10,0,0,,,
      Mali,    1961 to 1965,0,0,0,0,0,0,,,
      Mali,    1966 to 1970,15,0,0,10,10,0,,,
      Mali,    1971 to 1975,25,0,0,25,0,0,,,
      Mali,    1976 to 1980,55,0,0,50,0,0,,,
      Mali,    1981 to 1985,10,0,0,10,0,0,,,
      Mali,    1986 to 1990,120,0,10,110,10,0,,,
      Mali,    1991 to 1995,190,10,20,160,0,0,,,
      Mali,    1996 to 2001,245,35,35,175,0,0,,,
      Mali,  Non-permanent residents,150,0,45,95,0,0,,,
      Mauritania,Total - Immigrant Status and Period of Immigration,155,0,25,130,0,0,,,
      Mauritania,  Non-immigrants,10,0,10,0,0,0,,,
      Mauritania,  Immigrants,125,0,10,110,0,0,,,
      Mauritania,    Before 1915,0,0,0,0,0,0,,,
      Mauritania,    1916 to 1920,0,0,0,0,0,0,,,
      Mauritania,    1921 to 1925,0,0,0,0,0,0,,,
      Mauritania,    1926 to 1930,0,0,0,0,0,0,,,
      Mauritania,    1931 to 1935,0,0,0,0,0,0,,,
      Mauritania,    1936 to 1940,0,0,0,0,0,0,,,
      Mauritania,    1941 to 1945,0,0,0,0,0,0,,,
      Mauritania,    1946 to 1950,0,0,0,0,0,0,,,
      Mauritania,    1951 to 1955,0,0,0,0,0,0,,,
      Mauritania,    1956 to 1960,0,0,0,0,0,0,,,
      Mauritania,    1961 to 1965,0,0,0,0,0,0,,,
      Mauritania,    1966 to 1970,0,0,0,0,0,0,,,
      Mauritania,    1971 to 1975,10,0,0,10,0,0,,,
      Mauritania,    1976 to 1980,0,0,0,0,0,0,,,
      Mauritania,    1981 to 1985,10,0,0,10,0,0,,,
      Mauritania,    1986 to 1990,10,0,0,10,0,0,,,
      Mauritania,    1991 to 1995,10,0,10,0,0,0,,,
      Mauritania,    1996 to 2001,80,0,0,75,0,0,,,
      Mauritania,  Non-permanent residents,25,0,0,15,0,0,,,
      Niger,Total - Immigrant Status and Period of Immigration,205,40,35,130,0,0,,,
      Niger,  Non-immigrants,10,10,0,0,0,0,,,
      Niger,  Immigrants,140,35,20,85,0,0,,,
      Niger,    Before 1915,0,0,0,0,0,0,,,
      Niger,    1916 to 1920,0,0,0,0,0,0,,,
      Niger,    1921 to 1925,0,0,0,0,0,0,,,
      Niger,    1926 to 1930,0,0,0,0,0,0,,,
      Niger,    1931 to 1935,0,0,0,0,0,0,,,
      Niger,    1936 to 1940,0,0,0,0,0,0,,,
      Niger,    1941 to 1945,0,0,0,0,0,0,,,
      Niger,    1946 to 1950,0,0,0,0,0,0,,,
      Niger,    1951 to 1955,0,0,0,0,0,0,,,
      Niger,    1956 to 1960,0,0,0,0,0,0,,,
      Niger,    1961 to 1965,0,0,0,0,0,0,,,
      Niger,    1966 to 1970,0,0,0,0,0,0,,,
      Niger,    1971 to 1975,0,0,0,0,0,0,,,
      Niger,    1976 to 1980,0,0,0,0,0,0,,,
      Niger,    1981 to 1985,0,0,0,0,0,0,,,
      Niger,    1986 to 1990,10,0,0,10,0,0,,,
      Niger,    1991 to 1995,25,0,10,20,0,0,,,
      Niger,    1996 to 2001,105,30,10,60,0,0,,,
      Niger,  Non-permanent residents,50,0,10,40,0,0,,,
      Nigeria,Total - Immigrant Status and Period of Immigration,10535,1375,1585,7120,325,125,,,
      Nigeria,  Non-immigrants,215,40,65,105,0,0,,,
      Nigeria,  Immigrants,8800,1180,1390,5790,320,120,,,
      Nigeria,    Before 1915,0,0,0,0,0,0,,,
      Nigeria,    1916 to 1920,0,0,0,0,0,0,,,
      Nigeria,    1921 to 1925,10,0,0,0,0,10,,,
      Nigeria,    1926 to 1930,0,0,0,0,0,0,,,
      Nigeria,    1931 to 1935,0,0,0,0,0,0,,,
      Nigeria,    1936 to 1940,0,0,0,0,0,0,,,
      Nigeria,    1941 to 1945,0,0,0,0,0,0,,,
      Nigeria,    1946 to 1950,0,0,0,0,0,0,,,
      Nigeria,    1951 to 1955,15,0,0,15,0,0,,,
      Nigeria,    1956 to 1960,15,0,0,10,0,0,,,
      Nigeria,    1961 to 1965,40,0,0,35,0,0,,,
      Nigeria,    1966 to 1970,165,0,0,85,80,0,,,
      Nigeria,    1971 to 1975,620,0,0,480,110,25,,,
      Nigeria,    1976 to 1980,525,0,20,460,40,10,,,
      Nigeria,    1981 to 1985,325,0,60,250,10,10,,,
      Nigeria,    1986 to 1990,880,25,220,590,30,15,,,
      Nigeria,    1991 to 1995,1680,165,315,1160,20,25,,,
      Nigeria,    1996 to 2001,4530,995,775,2705,35,20,,,
      Nigeria,  Non-permanent residents,1520,160,125,1220,10,0,,,
      Saint Helena,Total - Immigrant Status and Period of Immigration,20,0,0,0,10,10,,,
      Saint Helena,  Non-immigrants,0,0,0,0,0,0,,,
      Saint Helena,  Immigrants,20,0,0,0,10,10,,,
      Saint Helena,    Before 1915,0,0,0,0,0,0,,,
      Saint Helena,    1916 to 1920,0,0,0,0,0,0,,,
      Saint Helena,    1921 to 1925,0,0,0,0,0,0,,,
      Saint Helena,    1926 to 1930,0,0,0,0,0,0,,,
      Saint Helena,    1931 to 1935,0,0,0,0,0,0,,,
      Saint Helena,    1936 to 1940,0,0,0,0,0,0,,,
      Saint Helena,    1941 to 1945,0,0,0,0,0,0,,,
      Saint Helena,    1946 to 1950,0,0,0,0,0,0,,,
      Saint Helena,    1951 to 1955,0,0,0,0,0,0,,,
      Saint Helena,    1956 to 1960,0,0,0,0,0,0,,,
      Saint Helena,    1961 to 1965,10,0,0,0,0,10,,,
      Saint Helena,    1966 to 1970,10,0,0,0,10,0,,,
      Saint Helena,    1971 to 1975,0,0,0,0,0,0,,,
      Saint Helena,    1976 to 1980,0,0,0,0,0,0,,,
      Saint Helena,    1981 to 1985,10,0,0,0,0,10,,,
      Saint Helena,    1986 to 1990,0,0,0,0,0,0,,,
      Saint Helena,    1991 to 1995,0,0,0,0,0,0,,,
      Saint Helena,    1996 to 2001,0,0,0,0,0,0,,,
      Saint Helena,  Non-permanent residents,0,0,0,0,0,0,,,
      Senegal,Total - Immigrant Status and Period of Immigration,1815,185,315,1235,55,25,,,
      Senegal,  Non-immigrants,55,20,25,15,0,0,,,
      Senegal,  Immigrants,1420,130,145,1080,45,25,,,
      Senegal,    Before 1915,0,0,0,0,0,0,,,
      Senegal,    1916 to 1920,0,0,0,0,0,0,,,
      Senegal,    1921 to 1925,0,0,0,0,0,0,,,
      Senegal,    1926 to 1930,0,0,0,0,0,0,,,
      Senegal,    1931 to 1935,0,0,0,0,0,0,,,
      Senegal,    1936 to 1940,0,0,0,0,0,0,,,
      Senegal,    1941 to 1945,0,0,0,0,0,0,,,
      Senegal,    1946 to 1950,0,0,0,0,0,0,,,
      Senegal,    1951 to 1955,0,0,0,0,0,0,,,
      Senegal,    1956 to 1960,0,0,0,0,0,0,,,
      Senegal,    1961 to 1965,0,0,0,0,0,0,,,
      Senegal,    1966 to 1970,30,0,0,20,15,0,,,
      Senegal,    1971 to 1975,25,0,0,25,0,0,,,
      Senegal,    1976 to 1980,70,0,10,45,10,10,,,
      Senegal,    1981 to 1985,55,0,0,55,0,0,,,
      Senegal,    1986 to 1990,165,0,20,105,15,20,,,
      Senegal,    1991 to 1995,470,25,55,385,0,0,,,
      Senegal,    1996 to 2001,610,95,60,450,10,0,,,
      Senegal,  Non-permanent residents,335,40,145,140,15,0,,,
      Sierra Leone,Total - Immigrant Status and Period of Immigration,1030,170,190,605,35,25,,,
      Sierra Leone,  Non-immigrants,15,0,0,10,0,0,,,
      Sierra Leone,  Immigrants,845,145,125,515,35,25,,,
      Sierra Leone,    Before 1915,0,0,0,0,0,0,,,
      Sierra Leone,    1916 to 1920,0,0,0,0,0,0,,,
      Sierra Leone,    1921 to 1925,0,0,0,0,0,0,,,
      Sierra Leone,    1926 to 1930,0,0,0,0,0,0,,,
      Sierra Leone,    1931 to 1935,0,0,0,0,0,0,,,
      Sierra Leone,    1936 to 1940,0,0,0,0,0,0,,,
      Sierra Leone,    1941 to 1945,0,0,0,0,0,0,,,
      Sierra Leone,    1946 to 1950,0,0,0,0,0,0,,,
      Sierra Leone,    1951 to 1955,10,0,0,10,0,0,,,
      Sierra Leone,    1956 to 1960,0,0,0,0,0,0,,,
      Sierra Leone,    1961 to 1965,0,0,0,0,0,0,,,
      Sierra Leone,    1966 to 1970,10,0,0,10,10,0,,,
      Sierra Leone,    1971 to 1975,15,0,0,10,10,0,,,
      Sierra Leone,    1976 to 1980,30,0,0,30,0,0,,,
      Sierra Leone,    1981 to 1985,45,0,0,40,0,0,,,
      Sierra Leone,    1986 to 1990,80,0,10,65,10,10,,,
      Sierra Leone,    1991 to 1995,250,30,50,145,10,15,,,
      Sierra Leone,    1996 to 2001,400,115,65,210,10,0,,,
      Sierra Leone,  Non-permanent residents,170,25,65,85,0,0,,,
      Togo,Total - Immigrant Status and Period of Immigration,785,70,130,520,40,25,,,
      Togo,  Non-immigrants,50,20,20,10,0,0,,,
      Togo,  Immigrants,600,40,80,415,40,20,,,
      Togo,    Before 1915,0,0,0,0,0,0,,,
      Togo,    1916 to 1920,0,0,0,0,0,0,,,
      Togo,    1921 to 1925,0,0,0,0,0,0,,,
      Togo,    1926 to 1930,0,0,0,0,0,0,,,
      Togo,    1931 to 1935,0,0,0,0,0,0,,,
      Togo,    1936 to 1940,0,0,0,0,0,0,,,
      Togo,    1941 to 1945,0,0,0,0,0,0,,,
      Togo,    1946 to 1950,0,0,0,0,0,0,,,
      Togo,    1951 to 1955,0,0,0,0,0,0,,,
      Togo,    1956 to 1960,0,0,0,0,0,0,,,
      Togo,    1961 to 1965,0,0,0,0,0,0,,,
      Togo,    1966 to 1970,25,0,0,10,15,0,,,
      Togo,    1971 to 1975,15,0,0,10,10,0,,,
      Togo,    1976 to 1980,50,0,0,35,10,10,,,
      Togo,    1981 to 1985,25,0,0,20,10,0,,,
      Togo,    1986 to 1990,55,0,10,30,0,10,,,
      Togo,    1991 to 1995,150,10,35,110,10,0,,,
      Togo,    1996 to 2001,270,30,35,195,10,0,,,
      Togo,  Non-permanent residents,135,0,30,100,0,10,,,
    Eastern Africa,Total - Immigrant Status and Period of Immigration,114300,9080,14290,72215,10920,7800,,,
    Eastern Africa,  Non-immigrants,845,195,135,485,10,20,,,
    Eastern Africa,  Immigrants,107725,7805,12510,68995,10775,7645,,,
    Eastern Africa,    Before 1915,10,0,0,0,0,10,,,
    Eastern Africa,    1916 to 1920,0,0,0,0,0,0,,,
    Eastern Africa,    1921 to 1925,0,0,0,0,0,0,,,
    Eastern Africa,    1926 to 1930,20,0,0,0,0,20,,,
    Eastern Africa,    1931 to 1935,0,0,0,0,0,0,,,
    Eastern Africa,    1936 to 1940,0,0,0,0,0,0,,,
    Eastern Africa,    1941 to 1945,10,0,0,0,0,0,,,
    Eastern Africa,    1946 to 1950,40,0,0,0,15,25,,,
    Eastern Africa,    1951 to 1955,195,0,0,65,30,100,,,
    Eastern Africa,    1956 to 1960,260,0,0,125,60,70,,,
    Eastern Africa,    1961 to 1965,635,0,0,330,125,180,,,
    Eastern Africa,    1966 to 1970,2645,0,0,1425,860,355,,,
    Eastern Africa,    1971 to 1975,19845,0,0,12450,4720,2670,,,
    Eastern Africa,    1976 to 1980,10150,0,245,7270,1630,1005,,,
    Eastern Africa,    1981 to 1985,9220,0,640,6825,915,840,,,
    Eastern Africa,    1986 to 1990,19645,810,2960,14135,985,755,,,
    Eastern Africa,    1991 to 1995,25825,2925,4685,16145,935,1140,,,
    Eastern Africa,    1996 to 2001,19240,4070,3985,10225,500,455,,,
    Eastern Africa,  Non-permanent residents,5725,1080,1640,2735,135,135,,,
      Burundi,Total - Immigrant Status and Period of Immigration,2315,240,570,1435,50,25,,,
      Burundi,  Non-immigrants,10,0,10,0,0,0,,,
      Burundi,  Immigrants,2130,235,510,1315,45,25,,,
      Burundi,    Before 1915,0,0,0,0,0,0,,,
      Burundi,    1916 to 1920,0,0,0,0,0,0,,,
      Burundi,    1921 to 1925,0,0,0,0,0,0,,,
      Burundi,    1926 to 1930,0,0,0,0,0,0,,,
      Burundi,    1931 to 1935,0,0,0,0,0,0,,,
      Burundi,    1936 to 1940,0,0,0,0,0,0,,,
      Burundi,    1941 to 1945,0,0,0,0,0,0,,,
      Burundi,    1946 to 1950,0,0,0,0,0,0,,,
      Burundi,    1951 to 1955,0,0,0,0,0,0,,,
      Burundi,    1956 to 1960,0,0,0,0,0,0,,,
      Burundi,    1961 to 1965,0,0,0,0,0,0,,,
      Burundi,    1966 to 1970,20,0,0,10,0,0,,,
      Burundi,    1971 to 1975,90,0,0,65,15,10,,,
      Burundi,    1976 to 1980,60,0,0,50,10,0,,,
      Burundi,    1981 to 1985,45,0,0,45,0,0,,,
      Burundi,    1986 to 1990,220,10,70,135,0,0,,,
      Burundi,    1991 to 1995,400,45,115,220,10,10,,,
      Burundi,    1996 to 2001,1290,175,320,785,10,0,,,
      Burundi,  Non-permanent residents,185,10,60,115,0,0,,,
      Comoros,Total - Immigrant Status and Period of Immigration,45,10,10,35,0,0,,,
      Comoros,  Non-immigrants,10,10,0,0,0,0,,,
      Comoros,  Immigrants,25,0,10,25,0,0,,,
      Comoros,    Before 1915,0,0,0,0,0,0,,,
      Comoros,    1916 to 1920,0,0,0,0,0,0,,,
      Comoros,    1921 to 1925,0,0,0,0,0,0,,,
      Comoros,    1926 to 1930,0,0,0,0,0,0,,,
      Comoros,    1931 to 1935,0,0,0,0,0,0,,,
      Comoros,    1936 to 1940,0,0,0,0,0,0,,,
      Comoros,    1941 to 1945,0,0,0,0,0,0,,,
      Comoros,    1946 to 1950,0,0,0,0,0,0,,,
      Comoros,    1951 to 1955,0,0,0,0,0,0,,,
      Comoros,    1956 to 1960,0,0,0,0,0,0,,,
      Comoros,    1961 to 1965,0,0,0,0,0,0,,,
      Comoros,    1966 to 1970,0,0,0,0,0,0,,,
      Comoros,    1971 to 1975,0,0,0,0,0,0,,,
      Comoros,    1976 to 1980,0,0,0,0,0,0,,,
      Comoros,    1981 to 1985,0,0,0,0,0,0,,,
      Comoros,    1986 to 1990,20,0,0,20,0,0,,,
      Comoros,    1991 to 1995,0,0,10,0,0,0,,,
      Comoros,    1996 to 2001,0,0,0,0,0,0,,,
      Comoros,  Non-permanent residents,15,0,0,15,0,0,,,
      Djibouti,Total - Immigrant Status and Period of Immigration,495,110,175,200,15,0,,,
      Djibouti,  Non-immigrants,0,0,0,0,0,0,,,
      Djibouti,  Immigrants,365,85,130,145,10,0,,,
      Djibouti,    Before 1915,0,0,0,0,0,0,,,
      Djibouti,    1916 to 1920,0,0,0,0,0,0,,,
      Djibouti,    1921 to 1925,0,0,0,0,0,0,,,
      Djibouti,    1926 to 1930,0,0,0,0,0,0,,,
      Djibouti,    1931 to 1935,0,0,0,0,0,0,,,
      Djibouti,    1936 to 1940,0,0,0,0,0,0,,,
      Djibouti,    1941 to 1945,0,0,0,0,0,0,,,
      Djibouti,    1946 to 1950,0,0,0,0,0,0,,,
      Djibouti,    1951 to 1955,0,0,0,0,0,0,,,
      Djibouti,    1956 to 1960,0,0,0,0,0,0,,,
      Djibouti,    1961 to 1965,0,0,0,0,0,0,,,
      Djibouti,    1966 to 1970,0,0,0,0,0,0,,,
      Djibouti,    1971 to 1975,0,0,0,0,0,0,,,
      Djibouti,    1976 to 1980,0,0,0,0,0,0,,,
      Djibouti,    1981 to 1985,0,0,0,0,0,0,,,
      Djibouti,    1986 to 1990,65,10,40,10,0,0,,,
      Djibouti,    1991 to 1995,105,30,30,45,0,0,,,
      Djibouti,    1996 to 2001,190,45,55,80,10,0,,,
      Djibouti,  Non-permanent residents,130,25,40,50,0,0,,,
      Eritrea,Total - Immigrant Status and Period of Immigration,4795,170,470,3945,170,45,,,
      Eritrea,  Non-immigrants,10,10,0,10,0,0,,,
      Eritrea,  Immigrants,4695,165,450,3860,170,45,,,
      Eritrea,    Before 1915,0,0,0,0,0,0,,,
      Eritrea,    1916 to 1920,0,0,0,0,0,0,,,
      Eritrea,    1921 to 1925,0,0,0,0,0,0,,,
      Eritrea,    1926 to 1930,0,0,0,0,0,0,,,
      Eritrea,    1931 to 1935,0,0,0,0,0,0,,,
      Eritrea,    1936 to 1940,0,0,0,0,0,0,,,
      Eritrea,    1941 to 1945,0,0,0,0,0,0,,,
      Eritrea,    1946 to 1950,0,0,0,0,0,0,,,
      Eritrea,    1951 to 1955,0,0,0,0,0,0,,,
      Eritrea,    1956 to 1960,0,0,0,0,0,0,,,
      Eritrea,    1961 to 1965,10,0,0,0,10,0,,,
      Eritrea,    1966 to 1970,15,0,0,10,10,0,,,
      Eritrea,    1971 to 1975,75,0,0,70,0,10,,,
      Eritrea,    1976 to 1980,60,0,0,50,0,0,,,
      Eritrea,    1981 to 1985,840,0,65,725,45,0,,,
      Eritrea,    1986 to 1990,1540,20,160,1280,65,10,,,
      Eritrea,    1991 to 1995,1410,35,110,1210,30,25,,,
      Eritrea,    1996 to 2001,745,110,105,515,10,0,,,
